Player,Pos,Squad,Age,90s,TklW,Tkl%,Blocks,Int,Tkl+Int,Clr,Err,Total Cmp,Total Cmp%,Short Cmp,Long Cmp,Long Cmp%,Passes into final third,Prog,SCA,Recov,Aerial Won,Aerial Won%,Touches Def 3rd,Touches Mid 3rd,Rec
Rodrigo Abascal,DF,Boavista,28-359,7.5,1.33,52.9,1.2,1.87,3.73,4.13,0.0,48.5,78.8,14.8,5.73,43.9,3.47,2.8,1.6,6.8,0.93,50.0,33.3,33.3,45.3
Pedro Álvaro,DF,Estoril,22-312,10.9,0.37,71.4,1.38,1.1,1.74,4.4,0.0,46.3,85.3,11.2,8.35,65.0,2.02,2.2,0.55,3.94,2.2,68.6,39.4,22.8,43.1
Pedro Amaral,DF,Rio Ave,25-136,11.0,0.82,57.1,0.91,0.91,2.45,1.64,0.0,45.8,74.3,15.9,6.55,52.9,3.82,3.64,2.0,4.55,0.18,22.2,20.1,30.9,43.2
André Amaro,DF,Vitória,20-130,13.2,0.98,59.1,1.29,1.82,3.48,3.79,0.0,38.0,85.8,11.7,5.08,71.3,2.88,2.27,0.76,4.92,2.2,63.0,25.8,26.9,33.5
Léo Andrade,DF,Marítimo,24-265,11.8,0.68,78.6,1.69,2.2,3.39,3.05,0.08,35.2,80.4,13.1,4.58,56.3,1.61,1.44,0.76,4.58,1.78,56.8,30.1,21.2,29.1
Vitorino Antunes,DF,Paços,35-282,13.0,1.23,68.8,0.92,2.08,3.54,1.54,0.08,46.9,71.7,21.3,6.62,46.2,4.62,4.54,2.23,5.31,0.38,33.3,25.1,32.1,40.8
Tomás Araújo,DF,Gil Vicente FC,20-237,3.0,0.33,60.0,2.33,1.67,4.33,7.67,0.0,66.0,84.3,18.3,5.0,57.7,5.67,4.33,1.67,7.33,4.33,61.9,48.3,44.3,57.0
Alexander Bah,DF,Benfica,25-030,9.5,1.79,57.9,1.47,1.89,4.63,1.16,0.11,60.4,79.8,27.9,4.63,51.8,5.16,4.74,3.05,5.68,2.11,55.6,17.2,39.6,55.6
Kennedy Boateng,DF,Santa Clara,26-040,12.7,1.1,53.3,1.1,1.18,2.83,5.12,0.08,32.5,78.8,9.61,4.96,61.8,1.65,1.5,0.39,4.49,3.7,66.2,31.7,19.4,29.2
Bolgado,DF,Casa Pia,24-141,3.5,0.86,75.0,2.0,0.86,2.86,8.0,0.0,30.0,83.3,9.71,4.86,65.4,2.0,1.43,0.57,4.57,3.43,60.0,30.0,18.9,25.1
Paulo Henrique Rodrigues Cabral,DF,Santa Clara,26-077,6.2,1.13,63.6,1.29,1.13,3.06,2.42,0.0,37.1,69.7,14.8,5.48,49.3,3.87,4.03,0.81,5.16,3.55,78.6,21.9,29.4,30.3
Reggie Cannon,DF,Boavista,24-211,10.1,1.29,57.9,1.19,2.38,4.06,3.17,0.0,44.0,84.4,16.5,2.77,42.4,1.68,1.19,0.1,4.75,0.59,40.0,32.4,27.1,40.4
Fábio Cardoso,DF,Porto,28-264,7.9,0.25,66.7,0.13,1.14,1.65,3.04,0.0,62.2,91.9,19.7,7.09,75.7,2.28,2.66,0.76,4.18,2.28,72.0,37.1,34.2,58.6
David Carmo,DF,Porto,23-173,7.0,0.43,75.0,1.14,1.43,2.14,3.43,0.0,49.0,82.5,13.4,7.57,58.2,3.86,2.57,0.29,4.0,2.0,66.7,39.6,26.6,50.3
Carraça,DF,Gil Vicente FC,29-313,4.9,0.82,57.1,0.82,0.82,1.84,1.22,0.0,56.9,76.6,26.1,7.14,49.3,3.47,3.67,2.86,5.92,1.43,53.8,28.4,32.9,49.6
Moises Castillo,DF,Marítimo,21-229,5.0,2.0,90.9,1.2,3.8,6.6,3.4,0.0,35.2,79.3,7.8,5.4,67.5,1.6,0.8,0.6,5.0,2.6,72.2,34.2,22.0,31.8
Sebastián Coates,DF,Sporting CP,32-093,11.5,0.43,70.0,1.04,0.61,1.65,2.61,0.0,63.7,89.9,23.0,6.26,61.5,5.22,4.17,0.87,5.91,1.65,63.3,26.4,50.2,60.1
Rodrigo Conceição,DF,Porto,23-006,3.7,2.43,75.0,1.08,1.08,4.32,2.43,0.0,48.4,80.6,30.8,3.51,56.5,1.35,1.62,2.97,4.59,1.62,46.2,19.5,34.6,42.7
Alexandre Manuel Penetra Correia,DF,Famalicão,21-121,10.5,1.24,42.9,1.24,1.81,3.43,2.38,0.0,35.6,75.7,11.1,6.19,55.6,3.24,2.19,1.71,3.52,1.9,60.6,22.8,25.3,32.8
João Pedro Araújo Correia,DF,Chaves,26-125,14.0,0.64,46.2,1.29,1.07,2.21,3.0,0.0,39.3,76.5,14.9,5.57,59.1,2.21,2.71,2.93,6.14,0.57,42.1,22.2,27.4,33.8
Matheus Costa,DF,Marítimo,27-347,8.1,1.36,70.0,0.86,1.36,3.33,4.2,0.12,36.2,81.8,11.6,3.46,48.3,1.6,1.48,1.11,5.8,2.84,60.5,34.0,19.1,32.3
Tomás Costa Silva,DF,Vizela,23-085,7.9,2.78,63.3,1.27,1.52,5.44,4.3,0.0,31.5,68.8,17.5,2.78,37.9,3.04,3.42,2.91,5.57,1.65,50.0,20.1,22.5,28.9
Sandro Cruz,DF,Chaves,21-241,3.5,2.0,71.4,1.43,1.71,3.71,3.43,0.0,43.7,76.9,18.0,3.43,42.9,4.57,4.57,1.71,5.71,0.57,50.0,22.9,37.1,42.3
Lucas Cunha,DF,Gil Vicente FC,25-350,13.0,0.38,62.5,1.15,1.23,1.69,4.31,0.0,54.8,86.2,16.0,8.92,65.9,5.69,5.23,1.08,4.85,1.46,65.5,35.5,35.8,49.8
Hernán De La Fuente,DF,Famalicão,26-001,6.0,2.17,62.5,1.67,1.5,5.17,2.67,0.0,40.8,75.6,20.8,2.0,40.0,2.83,2.67,2.33,6.83,1.0,54.5,21.0,28.7,31.8
Tiago Esgaio,DF,Arouca,27-160,12.0,0.92,64.3,1.25,0.83,2.67,3.83,0.0,32.8,66.0,14.3,3.67,38.9,2.67,1.92,0.67,3.92,2.25,58.7,23.3,23.6,30.1
Fabiano,DF,Braga,22-300,10.7,2.99,71.4,1.5,1.59,5.05,1.59,0.0,41.4,76.8,16.3,5.89,59.4,2.52,2.71,2.99,5.79,0.47,25.0,18.1,29.2,35.1
Erick Ferigra,DF,Paços,23-335,7.0,0.43,75.0,1.14,0.86,1.71,3.57,0.0,48.7,90.5,16.1,4.86,68.0,3.0,1.86,0.57,5.14,1.71,48.0,38.0,25.0,43.7
Ivanildo Fernandes,DF,Vizela,26-288,5.7,0.35,100.0,1.05,0.88,1.93,6.49,0.0,18.2,71.7,7.37,1.93,34.4,1.23,0.88,0.0,2.63,2.46,77.8,24.9,11.9,16.8
Rúben Fernandes,DF,Gil Vicente FC,36-247,11.0,0.27,41.7,1.64,1.64,2.45,3.73,0.0,49.5,84.9,14.6,7.09,70.3,2.09,1.91,0.27,5.55,1.73,59.4,38.6,28.1,44.5
Vasco Fernandes,DF,Casa Pia,36-057,13.9,0.58,54.5,1.8,1.22,2.01,3.81,0.14,38.3,85.8,14.3,3.17,55.0,1.51,0.86,0.43,4.82,1.15,69.6,28.7,23.5,31.9
Gilberto,DF,Benfica,29-307,5.5,1.09,50.0,1.45,1.27,3.27,1.45,0.0,76.0,82.1,44.7,1.09,23.1,5.09,4.0,3.64,6.55,0.91,41.7,14.0,48.0,70.5
Paulo Godinho,DF,Santa Clara,20-328,5.2,0.96,71.4,0.58,1.15,2.5,5.0,0.0,40.0,81.6,9.81,6.54,70.8,1.73,1.73,0.38,3.65,1.73,50.0,35.8,21.7,35.6
Henrique Gomes,DF,Gil Vicente FC,27-039,3.5,0.29,25.0,1.71,0.86,2.0,3.71,0.0,35.4,70.5,16.6,2.0,35.0,2.86,2.57,0.86,4.86,2.29,72.7,17.1,26.9,30.3
Cristian González,DF,Santa Clara,26-169,11.0,1.45,80.0,1.64,1.73,3.73,4.82,0.09,30.8,85.2,7.64,5.0,63.2,1.0,0.82,0.18,5.64,1.36,46.9,33.3,14.1,26.2
Álex Grimaldo,DF,Benfica,27-110,13.8,1.59,69.0,0.29,1.3,3.62,0.58,0.0,63.6,82.3,36.4,3.62,50.0,3.04,4.71,3.33,6.01,0.58,44.4,16.9,35.4,56.6
Gonçalo Inácio,DF,Sporting CP,21-136,11.5,0.43,50.0,0.78,1.57,2.61,2.52,0.17,82.6,89.7,29.7,7.48,71.1,9.83,4.78,2.26,5.04,2.09,61.5,35.0,59.5,79.4
Carlos Isaac,DF,Vizela,24-253,3.9,1.79,100.0,0.77,1.28,4.36,3.59,0.0,30.3,67.0,13.8,2.82,36.7,2.05,1.79,1.54,7.44,1.28,41.7,18.5,27.7,20.5
Anderson Jesus,DF,Vizela,27-312,14.0,0.64,50.0,0.79,1.5,2.57,6.0,0.07,20.3,73.0,6.71,2.21,38.3,1.0,0.71,0.5,2.93,2.43,64.2,24.6,12.9,19.5
Joãozinho,DF,Estoril,33-190,11.3,0.8,68.8,1.15,0.27,1.42,2.04,0.0,36.3,76.9,14.8,3.27,45.7,3.1,3.1,1.24,3.45,0.88,43.5,20.0,25.5,31.4
Igor Julião,DF,Vizela,28-138,3.6,1.39,75.0,0.83,1.11,3.33,3.33,0.0,23.9,68.3,12.2,2.78,50.0,2.78,1.94,1.11,4.17,1.11,80.0,18.1,15.8,22.2
Zainadine Júnior,DF,Marítimo,34-198,8.1,0.49,50.0,0.86,1.48,2.47,3.33,0.12,36.7,81.1,7.53,6.79,59.8,1.48,2.59,0.25,5.19,3.09,71.4,31.7,21.2,31.9
Bruno Langa,DF,Chaves,25-069,9.4,1.38,50.0,1.38,1.28,2.98,2.66,0.0,35.7,69.3,13.9,3.72,43.2,3.09,4.15,2.66,7.13,0.64,46.2,24.8,26.5,30.9
Nuno Lima,DF,Paços,21-298,9.2,0.76,28.6,1.52,0.98,1.74,2.39,0.0,44.0,85.4,11.4,8.59,68.7,2.72,2.17,0.43,5.33,1.41,56.5,36.1,21.5,39.7
Rúben Lima,DF,Famalicão,33-097,9.5,0.95,42.9,1.37,2.11,3.79,3.89,0.0,37.3,72.4,18.9,3.58,43.6,3.89,2.95,0.95,4.63,1.89,56.3,20.4,30.1,31.1
Iván Marcano,DF,Porto,35-199,6.8,0.44,50.0,1.18,1.18,1.62,2.5,0.15,59.4,89.6,17.1,10.0,77.3,2.79,2.65,0.59,5.74,2.79,79.2,37.8,33.5,53.1
Adrián Marín,DF,Gil Vicente FC,25-364,10.3,1.07,69.2,0.68,1.07,2.43,3.01,0.0,38.2,70.7,17.6,3.79,38.2,4.37,5.24,2.33,5.44,1.84,59.4,18.6,30.4,36.4
João Mário Lopes,DF,Porto,23-005,5.3,0.94,44.4,0.75,0.94,2.64,0.94,0.0,39.6,79.8,21.3,2.08,50.0,1.13,2.83,3.4,3.02,0.94,45.5,12.5,27.7,37.2
Enea Mihaj,DF,Famalicão,24-187,13.0,0.46,66.7,1.15,1.08,2.31,3.23,0.0,43.5,88.7,14.9,5.23,68.0,1.69,1.62,0.31,4.08,1.38,56.3,34.5,21.8,39.2
Nélson Monte,DF,Chaves,27-162,13.0,0.46,41.7,1.0,1.77,2.31,5.69,0.0,42.2,84.6,8.92,6.69,64.4,2.62,3.15,0.46,3.31,1.92,53.2,34.5,24.6,39.6
Morato,DF,Benfica,21-192,4.0,1.25,50.0,0.5,1.25,2.5,2.5,0.0,59.3,88.4,26.3,6.0,68.6,5.5,3.5,0.75,7.75,2.0,66.7,33.3,40.0,50.8
Fahd Moufi,DF,Portimonense,26-248,13.3,0.68,61.5,1.43,2.03,3.08,2.48,0.0,37.0,70.0,16.1,3.23,39.8,2.26,1.73,2.48,5.71,2.26,62.5,19.4,27.4,32.9
Christian Neiva Afonso,DF,Vizela,28-029,12.0,1.67,69.6,0.75,1.58,3.92,3.67,0.0,31.4,67.0,14.8,3.67,35.2,3.17,3.0,2.83,6.0,1.58,50.0,20.2,24.7,24.3
Sikou Niakaté,DF,Braga,23-182,10.9,0.73,50.0,1.19,1.74,3.03,3.94,0.0,55.8,86.2,16.8,4.22,44.7,2.94,3.03,0.83,5.87,2.29,69.4,39.0,35.7,51.7
Miguel Nóbrega,DF,Rio Ave,22-266,5.2,0.96,62.5,1.92,0.58,1.92,3.85,0.0,46.3,81.1,14.2,3.85,45.5,2.5,1.73,0.77,3.27,1.92,47.6,29.8,34.2,49.2
João Nunes,DF,Casa Pia,27-050,8.9,1.8,86.4,1.91,1.57,4.72,4.27,0.0,42.2,81.7,17.6,3.6,47.8,4.04,3.6,0.67,5.96,1.91,68.0,35.1,27.2,39.8
Paulo Oliveira,DF,Braga,31-000,5.6,0.89,100.0,1.07,2.5,3.75,5.18,0.0,45.2,80.6,9.82,6.25,53.8,2.14,1.96,0.54,4.29,2.14,57.1,37.0,30.4,43.4
Jerome Opoku,DF,Arouca,24-086,11.7,0.51,77.8,1.28,1.2,2.31,4.87,0.09,29.8,80.6,8.21,3.59,48.3,1.54,1.28,0.6,4.53,1.71,57.1,29.1,17.9,28.6
Nicolás Otamendi,DF,Benfica,34-330,14.0,1.57,63.6,0.86,2.43,4.5,2.93,0.0,74.0,92.2,25.0,8.86,82.7,4.71,4.14,1.07,7.64,2.57,66.7,36.4,51.7,65.9
João Othavio Basso,DF,Arouca,25-360,14.0,1.07,45.0,1.5,1.64,3.43,4.79,0.07,42.5,86.0,12.6,5.14,63.7,2.43,1.71,0.57,6.21,1.43,60.6,38.6,21.1,35.9
Renato Pantalon,DF,Rio Ave,25-073,5.6,0.54,75.0,0.89,1.61,2.86,3.39,0.0,32.9,81.8,11.8,3.21,69.2,1.96,0.89,0.36,3.39,1.43,80.0,21.6,25.7,29.6
Patrick,DF,Rio Ave,25-219,6.0,1.17,41.7,1.0,1.33,3.0,2.83,0.0,52.5,83.1,17.8,6.33,65.5,3.83,4.0,1.0,5.0,1.33,61.5,30.5,38.8,47.8
Pedrão,DF,Portimonense,25-250,12.0,0.67,64.3,1.33,1.5,2.92,3.83,0.0,41.0,81.3,8.33,7.75,56.4,4.08,2.17,1.0,6.08,1.67,83.3,36.3,23.2,39.2
Pepe,DF,Porto,39-316,6.0,2.0,56.3,0.5,1.33,4.0,3.5,0.0,55.5,82.2,19.8,9.0,62.1,5.5,5.0,1.5,9.67,2.83,73.9,40.5,35.0,48.7
Victor Perea,DF,Braga,22-282,4.0,0.25,25.0,1.25,0.0,0.75,1.0,0.0,45.3,76.4,16.0,4.75,48.7,2.0,4.25,4.0,4.75,0.25,16.7,12.5,29.0,40.0
Quaresma,DF,Arouca,26-139,11.8,1.02,55.0,0.68,0.68,2.46,2.71,0.0,38.7,72.8,17.7,4.92,50.4,3.31,3.22,1.95,6.78,0.76,50.0,26.6,27.5,35.6
Xavi Quintillà,DF,Santa Clara,26-138,5.0,1.6,62.5,0.6,0.0,1.8,3.2,0.0,30.6,63.8,16.4,3.2,34.0,3.2,2.8,2.0,3.6,1.0,45.5,18.6,20.0,26.8
Flávio Ramos,DF,Paços,28-241,8.3,0.24,62.5,1.81,1.57,2.65,4.94,0.0,35.5,84.8,10.5,5.42,66.2,0.72,0.96,0.72,3.13,2.41,80.0,36.4,16.3,31.9
Filipe Relvas,DF,Portimonense,23-110,14.9,0.54,71.4,1.07,2.01,3.09,5.23,0.0,46.6,84.9,11.9,7.11,66.7,3.09,2.15,0.74,4.63,3.22,76.2,38.4,26.3,39.5
Riccieli,DF,Famalicão,24-113,12.0,0.83,52.9,1.83,0.92,2.33,6.5,0.0,39.3,86.1,8.0,5.33,69.6,0.92,1.0,0.33,3.25,2.75,58.9,36.7,20.4,34.8
Josué Sá,DF,Rio Ave,30-205,6.5,1.23,20.0,0.92,0.92,2.62,4.15,0.0,49.7,86.8,16.0,6.92,64.3,6.31,4.0,1.38,4.62,1.08,63.6,28.3,33.5,46.2
Pierre Sagna,DF,Santa Clara,32-140,12.5,1.28,72.2,0.72,1.76,4.08,3.12,0.0,29.8,70.2,11.8,4.0,45.9,2.64,3.12,1.76,5.68,2.0,71.4,18.9,23.8,23.6
Aderlan Santos,DF,Rio Ave,33-274,13.4,1.19,53.3,1.12,1.72,3.51,4.93,0.0,52.3,87.2,14.1,5.37,55.4,1.27,1.87,0.67,4.78,2.84,62.3,37.8,32.6,49.3
Tiago santos,DF,Estoril,20-169,10.2,1.67,72.4,0.69,0.78,4.02,2.25,0.0,33.4,75.1,13.7,4.9,57.5,2.35,1.76,1.76,5.69,0.29,27.3,22.7,22.8,30.1
Zaidu Sanusi,DF,Porto,25-209,6.9,0.72,63.6,0.87,0.87,2.03,1.16,0.0,42.2,77.2,16.7,3.04,47.7,1.74,3.77,2.9,5.51,1.59,73.3,16.7,25.2,34.3
Vincent Sasso,DF,Boavista,31-326,10.9,0.92,71.4,0.64,0.83,2.39,3.76,0.0,44.7,88.9,15.9,3.39,64.9,1.19,2.11,0.18,4.95,1.65,62.1,31.7,25.5,39.4
Moustapha Seck,DF,Portimonense,26-319,13.4,1.57,81.8,1.19,1.34,3.43,2.01,0.07,27.5,64.6,12.8,3.06,41.8,2.16,2.39,2.09,5.37,2.01,73.0,14.3,24.4,26.3
Nuno Sequeira,DF,Braga,32-142,12.9,1.47,61.8,0.85,1.24,3.57,1.24,0.0,51.0,74.8,21.5,5.66,49.7,4.11,5.19,4.11,6.12,1.32,56.7,19.6,33.2,44.7
António Silva,DF,Benfica,19-070,12.0,1.08,75.0,0.67,1.42,3.33,3.08,0.0,66.8,92.2,19.4,8.17,72.6,6.25,3.75,0.67,8.67,2.08,67.6,37.5,43.7,60.3
Jerry St. Juste,DF,Sporting CP,26-081,4.3,0.23,33.3,0.47,1.4,2.09,1.63,0.23,97.7,92.9,38.8,5.58,80.0,11.2,5.12,3.95,7.67,0.93,40.0,38.1,60.7,90.7
Vítor Tormena,DF,Braga,27-004,13.1,0.61,41.7,1.3,1.45,2.21,3.74,0.0,51.0,84.3,11.4,6.87,60.8,5.34,2.67,1.3,5.34,2.14,71.8,34.6,33.7,48.2
Fernando Varela,DF,Casa Pia,35-043,6.9,1.16,81.8,1.16,1.3,3.19,2.75,0.0,37.1,83.4,17.0,3.19,55.0,3.77,2.17,0.58,5.51,2.32,53.3,26.5,26.5,33.6
Danilo veiga,DF,Gil Vicente FC,20-105,7.6,1.84,84.6,0.66,1.84,5.0,2.63,0.0,42.2,79.1,18.9,4.21,65.3,2.11,2.24,2.37,5.26,1.58,66.7,20.8,28.4,36.3
Mikel Villanueva,DF,Vitória,29-269,11.5,0.35,100.0,0.96,1.83,2.52,3.91,0.09,40.1,83.5,12.6,8.0,70.8,2.09,1.65,0.52,3.65,1.13,38.2,30.5,25.1,37.8
Bernardo Vital,DF,Estoril,22-010,11.0,0.45,77.8,0.64,0.45,1.45,6.0,0.09,47.5,88.0,10.1,7.55,74.8,1.64,1.27,0.27,4.27,1.73,59.4,45.7,18.4,43.2
Steven Vitória,DF,Chaves,35-362,13.0,0.54,81.8,1.77,1.38,2.23,3.62,0.08,41.5,87.0,9.08,4.38,61.3,0.92,1.77,0.69,3.31,2.31,68.2,34.0,21.5,38.5
Wendell,DF,Porto,29-172,7.0,1.14,58.3,0.86,1.14,3.57,1.14,0.0,48.3,83.9,29.0,2.14,38.5,2.0,1.57,1.0,5.57,1.14,66.7,21.0,31.3,37.4
Bruno Wilson,DF,Vizela,26-012,10.4,0.48,83.3,1.63,1.25,2.12,5.67,0.1,27.7,72.2,8.46,5.58,43.3,1.83,1.15,0.87,4.71,3.85,61.5,30.7,17.6,26.2
Nermin Zolotić,DF,Casa Pia,29-185,8.9,1.24,66.7,1.91,1.57,3.26,4.27,0.0,47.5,81.3,19.4,2.58,37.7,2.7,3.71,0.45,8.09,1.46,56.5,34.7,31.6,42.1
